stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_timezone,wheelchair_boarding
QJZ,,Nantes,"Transport : From the city center : Take Tram 1 direction ""Beaujoire/Ranzay"", stop at ""Haluchère-Batignolles"" (18 minutes).",47.248785,-1.520898,Europe/Paris,1
QXG,,Angers,,47.464769,-0.557731,Europe/Paris,1
XAS,,Amiens,Attention: Your stop is not at Amiens bus station but in Hortillons' parking (10 min from bus station) .,49.897096,2.311491,Europe/Paris,1
XBE,,Brive-la-Gaillarde,"Votre arrêt est situé à proximité du magasin Carrefour et de la station-service, au niveau de l'arrêt C.C Ouest.",45.145910,1.482730,Europe/Paris,1
XBS,,Bourges,,47.063820,2.368150,Europe/Paris,1
XBT,,Brest - Bus station,Bus Station Platform 8,48.387050,-4.483548,Europe/Paris,1
XCA,,Caen,,49.176438,-0.347647,Europe/Paris,1
XCF,,Clermont-Ferrand,"Access: Caution: From Saturday 8:00 pm to Sunday 2:30 pm the bus station is closed.The departures are made on the stop ""Salins Pasteur"" on the Boulevard Pasteur.",45.770780,3.082300,Europe/Paris,1
XDE,,Dunkirk,,51.031717,2.368469,Europe/Paris,1
XER,,Strasbourg,,48.574241,7.754260,Europe/Paris,1
XGE,,Grenoble - Bus Station,,45.192833,5.714294,Europe/Paris,1
XIZ,,Reims,"Transport:  To reach the city center: Tram B in 25 minutes, Bus, or train in 12 minutes.",49.214754,3.994568,Europe/Paris,1
XLH,,Le Havre,,49.492105,0.125341,Europe/Paris,1
XLS,,Limoges,,45.836153,1.268487,Europe/Paris,1
XLT,,Lorient,,47.755408,-3.364137,Europe/Paris,1
XMS,,Le Mans,"Your stop is located at the terminal station of Tram 1, stop ""Université"". Transport : From the city center : Tram 1 direction "" Université "" (17 minutes).",48.017410,0.149440,Europe/Paris,1
XMZ,,Metz,"Access : If the station is closed, the departure will be in front of the station gate.",49.110633,6.183319,Europe/Paris,1
XOP,,Poitiers,,46.584447,0.336029,Europe/Paris,1
XOS,,Orléans,"Transport : To reach your stop: Tram B direction Georges Pompidou, terminus stop (about 20 minutes from the city center).",47.896134,1.854014,Europe/Paris,1
XPD,,Paris - La Défense (Terminal Jules Verne),"Access: exit 6: La Coupole. From Monday to Saturday, from 6:00 to 21:00: platforms 1 to 10, before 6:00 or after 21:00:  platforms 11-15. On Sunday, all day:  platforms 11-15 .",48.891320,2.242330,Europe/Paris,1
XQR,,Quimper,Boarding: BlaBlaCar buses stop at platform 11.,47.994466,-4.093558,Europe/Paris,1
XRN,,Rouen - Rive gauche,,49.434093,1.092471,Europe/Paris,1
XSB,,Saint-Brieuc,,48.506828,-2.766448,Europe/Paris,1
XTO,,Tours,,47.383496,0.702171,Europe/Paris,1
ZFJ,,Rennes,,48.104103,-1.669906,Europe/Paris,1
ZFQ,,Bordeaux Halte routière de Paludate,Attention: Your stop will be moved from Friday 12 April 2024 at 00:01  to the following address:  Halte routière 140-142 rue des Terres de Borde 33800 Bordeaux,44.829689,-0.553785,Europe/Paris,1
XBN,,Besançon,,47.221500,5.978610,Europe/Paris,1
ZDH,,Mulhouse,,47.742183,7.341877,Europe/Paris,1
XCN,,Cannes,"Votre arrêt est situé sur le parking, en face de l'office de tourisme.",43.570898,7.014582,Europe/Paris,1
XVS,,Vannes,,47.666422,-2.747920,Europe/Paris,1
XLR,,La Rochelle,,46.153044,-1.141486,Europe/Paris,1
XMO,,Moutiers,,45.486800,6.529400,Europe/Paris,1
XBM,,Bourg-Saint-Maurice,La gare routière est située à proximité de la gare SNCF.,45.619570,6.771720,Europe/Paris,1
XAI,,Aime - La Plagne,,45.554480,6.647470,Europe/Paris,1
QKU,,Cologne - Airport,Platform 9 or 11.,50.881444,7.117081,Europe/Berlin,1
XBA,,Bayonne,Access: The bus station is 160 meters from the PONT GRENET bus stop.,43.497609,-1.479022,Europe/Paris,1
XNT,,Niort,"Transport : Bus: Stop ""Pied de Fond"" line 2 and 7. From the city center: Line 2 and 7 direction Bessines (20 minutes).",46.307555,-0.485627,Europe/Paris,1
XZN,,Avignon - Le Pontet,Stop Le Pontet - Le Lac  Accessible by Bus lines C2 -14 - 902  opposite MATMUT (on the other side of the road),43.960626,4.855937,Europe/Paris,1
DOL,,Deauville,,49.359119,0.084067,Europe/Paris,1
DNR,,Saint-Malo,,48.650588,-2.021689,Europe/Paris,1
RYN,,Royan,Departure and arrival on platform C.,45.626108,-1.016375,Europe/Paris,1
XAX,,Parc Astérix,,49.136899,2.570402,Europe/Paris,1
PGF,,Perpignan,,42.694931,2.879244,Europe/Paris,1
XFJ,,Fréjus - Saint-Raphaël,,43.435580,6.737390,Europe/Paris,1
XZR,,Béziers,,43.336576,3.220587,Europe/Paris,1
XAV,,Avranches,,48.690150,-1.369671,Europe/Paris,1
XBP,,Bordeaux Pessac,,44.804366,-0.632593,Europe/Paris,1
XCY,,Chambéry,,45.569957,5.917277,Europe/Paris,1
XDX,,Dax,,43.720268,-1.049650,Europe/Paris,1
GVA,,Geneva - Airport,,46.230120,6.109288,Europe/Zurich,1
XGP,,Guingamp,,48.555841,-3.142547,Europe/Paris,1
XHD,,Hendaye,,43.351104,-1.783282,Europe/Paris,1
LYS,,Lyon - Saint-Exupéry Airport,Transport : Tram Lyon Rhône Express.,45.719095,5.079539,Europe/Paris,1
XMX,,Morlaix,,48.577528,-3.832942,Europe/Paris,1
PUF,,Pau - Technopôle Héliparc,,43.319002,-0.362155,Europe/Paris,1
PGX,,Périgueux,"Your stop is located at the exchange pole of Créavallée Nord. Transport : From the city center : Line "" Nord Sud Express "" direction "" Créavallée Nord"" (25 minutes), or line 11.",45.143110,0.698516,Europe/Paris,1
EAS,,San Sebastián,Attention : This is an underground station.,43.317131,-1.977381,Europe/Madrid,1
XSJ,,Saint-Jean-de-Luz,,43.386163,-1.660763,Europe/Paris,1
LDE,,Tarbes,Your stop is opposite the Lautréamont High School.,43.223340,0.047218,Europe/Paris,1
BVA,,Beauvais - Airport,,49.459460,2.112223,Europe/Paris,1
GFR,,Mont-Saint-Michel,,48.612091,-1.509184,Europe/Paris,1
AUF,,Auxerre,,47.796629,3.584484,Europe/Paris,1
TLN,,Toulon,,43.127798,5.930755,Europe/Paris,1
NCY,,Annecy,,45.901670,6.121292,Europe/Paris,1
XLV,,Laval,,48.075944,-0.760562,Europe/Paris,1
CMX,,Chamonix Sud - Bus station,,45.917305,6.866800,Europe/Paris,1
XMK,,Montélimar,,44.559662,4.745270,Europe/Paris,1
ANG,,Angoulême,,45.653437,0.165591,Europe/Paris,1
XCD,,Chalon-sur-Saône,,46.782053,4.844260,Europe/Paris,1
EBU,,Saint-Etienne,,45.442411,4.402973,Europe/Paris,1
BIJ,,Biarritz - Airport,,43.472011,-1.532416,Europe/Paris,1
XMW,,Montauban Sud,,43.981774,1.331668,Europe/Paris,1
DLP,,Marne-la-Vallée - Chessy,,48.865739,2.783049,Europe/Paris,1
BRC,,Briançon,,44.889300,6.632900,Europe/Paris,1
XFY,,Saint-Gervais-les-Bains - Le Fayet,,45.906120,6.700988,Europe/Paris,1
CER,,Cherbourg-Octeville,"Votre arrêt est situé à la gare routière de Cherbourg, en face de la gare SNCF, de l'autre côté de l'avenue Jean-François Millet.",49.634024,-1.621079,Europe/Paris,1
MIM,,Mimizan,,44.201892,-1.229402,Europe/Paris,1
XLU,,Lourdes,,43.100180,-0.041551,Europe/Paris,1
XBI,,Biscarrosse,,44.393668,-1.164642,Europe/Paris,1
COL,,Colmar,,48.073756,7.347799,Europe/Paris,1
EAP,,Basel Mulhouse Freiburg - Airport,"Boarding is in the French sector, level 2.",47.600746,7.531787,Europe/Zurich,1
XGB,,Grenoble - Oxford,,45.204565,5.701076,Europe/Paris,1
XSD,,Paris Nord - Saint-Denis Université,"Your BlaBlaCar bus stop is located on the place of the metro and bus stops, on rue Toussaint Louverture.",48.946454,2.364575,Europe/Paris,1
BRG,,Bruges,,51.195470,3.216475,Europe/Brussels,1
XHF,,Honfleur,,49.419217,0.237157,Europe/Paris,1
XVG,,Valence - Centre,,44.926842,4.892645,Europe/Paris,1
CAB,,Cabourg,,49.294317,-0.106552,Europe/Paris,1
MAA,,Marseille Provence Airport,Your bus station is located between terminal 1 and terminal 2.,43.443573,5.219932,Europe/Paris,1
ANB,,Antibes,"Your bus stop is located in front of the Mc Donald's, stop Olympie.",43.599618,7.086362,Europe/Paris,1
LUX,,Luxembourg,,49.599985,6.105255,Europe/Luxembourg,1
AMS,,Amsterdam - Schiphol Airport,,52.308551,4.761443,Europe/Amsterdam,1
URT,,Utrecht,,52.090109,5.105177,Europe/Amsterdam,1
LHY,,The Hague,,52.079860,4.325712,Europe/Amsterdam,1
LIG,,Liège,Due to works on our actual stop our busses will stop in our new temporary stop at Rue des Guillemins 88 near the roundabout.,50.624072,5.568572,Europe/Brussels,1
HYP,,Hyères - Place Louis Versin,,43.117021,6.134157,Europe/Paris,1
LAC,,Lacanau,,45.001175,-1.195840,Europe/Paris,1
CRX,,Châteauroux,,46.849141,1.709043,Europe/Paris,1
CAR,,Carcassonne,coach parking,43.215750,2.347978,Europe/Paris,1
TGR,,Torino - Bus station,,45.070176,7.657810,Europe/Rome,1
XDP,,Dieppe,,49.922104,1.080672,Europe/Paris,1
LSN,,Lausanne,,46.536110,6.623749,Europe/Zurich,1
NRB,,Narbonne - Croix Sud,,43.165258,2.988403,Europe/Paris,1
TLA,,Toulouse-Blagnac Airport,,43.630144,1.375458,Europe/Paris,1
XSN,,Saint-Nazaire,,47.285531,-2.212690,Europe/Paris,1
SDN,,Sedan,,49.695233,4.930713,Europe/Paris,1
CVM,,Charleville-Mézières,,49.768810,4.724886,Europe/Paris,1
XLZ,,Lannemezan,,43.114340,0.387811,Europe/Paris,1
STG,,Saint-Gaudens,,43.105087,0.728974,Europe/Paris,1
MDS,,Madrid - South Station,,40.394264,-3.677721,Europe/Madrid,1
BLB,,Bilbao,Your bus station is located underground.,43.261310,-2.949953,Europe/Madrid,1
ALI,,Lisbon - Sete Rios,Zoological Garden stop,38.742098,-9.168330,Europe/Lisbon,1
ALE,,Lisbon - Oriente,,38.767846,-9.099361,Europe/Lisbon,1
ADT,,Dortmund,,51.519502,7.459241,Europe/Berlin,1
ADU,,Düsseldorf,,51.222885,6.795559,Europe/Berlin,1
AKA,,Karlsruhe,,48.991578,8.400345,Europe/Berlin,1
ATT,,Stuttgart - Airport,,48.691806,9.196691,Europe/Berlin,1
AFR,,Frankfurt - Main Bus station,"ATTENTION: Your BlaBlaCar bus departs from stop area C ""Neuer Fernbusbahnhof"". Buses of the Marino company departs from bus stop area D ""Stuttgarter Straße"".",50.104489,8.662546,Europe/Berlin,1
ABD,,Breda,,51.596492,4.778302,Europe/Amsterdam,1
CLS,,Cluses,,46.061484,6.582344,Europe/Paris,1
BOL,,Bologna,,44.503935,11.346888,Europe/Rome,1
MHM,,Mannheim,,49.478279,8.472825,Europe/Berlin,1
MSY,,Paris South - Massy-Palaiseau,The bus stop is located at the end of the pedestrian bridge on the RER line C commuting lines side - Quartier Vilmorin.,48.725759,2.256828,Europe/Paris,1
